Licence No,Licence Category,Trading As,Address,Suburb,Postcode,Postal Address,Postal Suburb,Postal Postcode,Council Name,Licensee,
31107685,BYO Permit,ALTONA CIVIC OBEDIENCE DOG CLUB,P O BOX 154,ALTONA,3018,P O BOX 154,ALTONA,3018,HOBSONS BAY CITY COUNCIL,THE SECRETARY,
31107928,BYO Permit,RMIT STAFF CLUB,124-126 LATROBE STREET,MELBOURNE,3000,C/- PROPERTY SERVICES- BRETT DELZOPPO BOX 2476V GPO,MELBOURNE,3001,MELBOURNE CITY COUNCIL,D G HAMILTON,
31108356,BYO Permit,TRIPOLI SOCIAL CLUB,114 NORTH ROAD,NEWPORT,3015,134 NORTH ROAD,NEWPORT,3015,HOBSONS BAY CITY COUNCIL,ROMEO CINI,
31108699,BYO Permit,NEVOLIANY SCOPIA SOCIAL CLUB,1 MILLER STREET,THORNBURY,3071,4 SLATER STREET,NORTHCOTE,3070,DAREBIN CITY COUNCIL,PETER STROUMOS,
31109718,BYO Permit,NAVAL ASSOCIATION OF AUSTRALIA FOOTSCRAY SUB BRANC,BARRETT RESERVE GRAHAM STREET,FOOTSCRAY WEST,3012,PO BOX 4161 GRAHAM STREET,WEST FOOTSCRAY,3012,MARIBYRNONG CITY COUNCIL,THE NAVAL ASSOCIATION OF AUSTRALIA,
31109970,BYO Permit,METROPOLITAN CLAY TARGET CLUB,LOT 1 BOX 93,EPPING,3076,P O BOX 93,EPPING,3076,WHITTLESEA CITY COUNCIL,METROPOLITAN CLAY TARGET CLUB INC,
31110303,BYO Permit,NORTH RICHMOND CLUB,6 CHURCH STREET,RICHMOND,3121,P O BOX 1233,NORTH RICHMOND,3121,YARRA CITY COUNCIL,NORTH RICHMOND CLUB,
31110840,BYO Permit,ST KEVINS TENNIS CLUB,HERLIHYS ROAD LOWER,LOWER TEMPLESTOWE,3107,P O BOX 39,BULLEEN,3105,NILLUMBIK SHIRE COUNCIL,ST KEVINS TENNIS CLUB,
31111121,BYO Permit,RATS OF TOBRUK ASSOCIATION,"""TOBRUK HOUSE"" 44 VICTORIA AVE",ALBERT PARK,3206,"""TOBRUK HOUSE"" 44 VICTORIA AVENUE",ALBERT PARK,3206,PORT PHILLIP CITY COUNCIL,RATS OF TOBRUK ASSOCIATION,
31111896,BYO Permit,ALTONA LACROSSE CLUB,PAISLEY PARK MASON STREET,ALTONA EAST,3018,PO BOX 584 MASON STREET,ALTONA NORTH,3025,HOBSONS BAY CITY COUNCIL,GRAHAM SHARPE,
31112274,BYO Permit,FRANKSTON GOLF CLUB,GOLF LINKS ROAD,FRANKSTON,3199,P O BOX 1043,FRANKSTON,3199,FRANKSTON CITY COUNCIL,FRANKSTON GOLF CLUB LIMITED,
31112868,BYO Permit,PARK ORCHARDS TENNIS CLUB,CNR PARK RD & GRANARD AVE,PARK ORCHARDS,3114,P.O. BOX 71,PARK ORCHARDS,3114,MANNINGHAM CITY COUNCIL,PARK ORCHARDS TENNIS CLUB INC.,
31113377,BYO Permit,EAST RINGWOOD TENNIS CLUB,CNR MT DANDENONG & DUBLIN RDS,RINGWOOD EAST,3135,P O BOX 66,RINGWOOD EAST,3135,MAROONDAH CITY COUNCIL,GEOFF ROWE,
31114276,BYO Permit,MELBOURNE LACROSSE CLUB,ALBERT GROUND QUEENS ROAD,MELBOURNE,3004,REBECCA HARVEY - EXECUTIVE MANAGER HOSPITALITY PO BOX 175,EAST MELBOURNE,8002,MELBOURNE CITY COUNCIL,C/O MELBOURNE CRICKET CLUB,
31114438,BYO Permit,NORTH BALWYN TENNIS CLUB,57A BUCHANAN AVE,BALWYN NORTH,3104,57A BUCHANAN AVENUE,NORTH BALWYN,3104,BOROONDARA CITY COUNCIL,NORTH BALWYN TENNIS CLUB INC.,
31115078,BYO Permit,DROMANA TENNIS CLUB,MARNA STREET,DROMANA,3936,P O BOX 215,DROMANA,3936,MORNINGTON PENINSULA SHIRE COUNCIL,HON SECRETARY,
31116723,BYO Permit,MARIBYRNONG PARK TENNIS CLUB,TENNIS CLUB HOUSE 189 HOLMES ROAD,MOONEE PONDS,3039,PO BOX 96 189 HOLMES ROAD,ESSENDON,3040,MOONEE VALLEY CITY COUNCIL,MARIBYRNONG PARK TENNIS CLUB,
31116901,BYO Permit,MT EVELYN TENNIS CLUB,BIRMINGHAM RD,MT EVELYN,3796,P O BOX 214,MT EVELYN,3796,YARRA RANGES SHIRE COUNCIL,MT EVELYN TENNIS CLUB INC,
31117169,BYO Permit,AVONDALE HEIGHTS TENNIS CLUB,DOYLE ST RESERVE,AVONDALE HEIGHTS,3034,P O BOX 166,AVONDALE HEIGHTS,3034,MOONEE VALLEY CITY COUNCIL,G C SANDMAN,
31117389,BYO Permit,VIEWBANK TENNIS CLUB,VIEWBANK TENNIS CLUBROOMS RUTHERFORD ROAD,VIEWBANK,3084,P O BOX 81 RUTHERFORD ROAD,ROSANNA,3084,BANYULE CITY COUNCIL,P F WOODLOCK,
31117876,BYO Permit,FLINDERS YACHT CLUB INC,BASS PARK,FLINDERS,3929,FORESHORE ROAD,FLINDERS,3929,MORNINGTON PENINSULA SHIRE COUNCIL,FLINDERS YACHT CLUB INC,
31118440,BYO Permit,FRANKSTON HOSPITAL,JOHN MADDER HALL FRANKSTON COMMUNITY HOSPITAL H,FRANKSTON,3199,RUTH HALLETT 14 GERALD STREET,TYABB,3913,FRANKSTON CITY COUNCIL,FRANKSTON HOSPITAL,
31118759,BYO Permit,BASTERFIELD PARK TENNIS CLUB,BASTERFIELD PARK DANE RD,MOORABBIN,3189,P.O. BOX 1427 DANE RD,MOORABBIN,3189,KINGSTON CITY COUNCIL,BASTERFIELD PARK TENNIS CLUB,
31118767,BYO Permit,BEAUMARIS COMMUNITY CENTRE TENNIS CLUB,COMMUNITY CENTRE RESERVE RD,BEAUMARIS,3193,5 WALL STREET RESERVE RD,BEAUMARIS,3193,BAYSIDE CITY COUNCIL,TREASURER,
31118814,BYO Permit,NORTH BRIGHTON MEN'S CLUB,14 WARLEIGH GVE,BRIGHTON NORTH,3186,14 WARLEIGH GVE,BRIGHTON NORTH,3186,BAYSIDE CITY COUNCIL,SECRETARY,
31119276,BYO Permit,GREEK COMMUNITY OF DANDENONG,GREEK YOUTH HALL (CLUB) 19 HERBERT ST,DANDENONG,3175,GREEK YOUTH HALL 19 HERBERT STREET,DANDENONG,3175,GREATER DANDENONG CITY COUNCIL,SECRETARY,
31119959,BYO Permit,THE VICTORIAN HOMING ASSOCIATION,2/29 BUSINESS PARK DRIVE,NOTTING HILL,3121,C/- HENRY MARCINIEC 68 PINEHILLS DRIVE,GREENSBOROUGH,3088,YARRA CITY COUNCIL,VICTORIAN HOMING ASSOCIATION INC,
31120285,BYO Permit,THE ESSENDON DISTRICT FOOTBALL LEAGUE,14 MARSHALL STREET,AIRPORT WEST,3042,14 MARSHALL ROAD,AIRPORT WEST,3042,MOONEE VALLEY CITY COUNCIL,W B MORDON,
31120659,BYO Permit,SPRINGVALE NORTH TENNIS CLUB,WARNER RESERVE FURNEW ST,SPRINGVALE,3170,C/O STEPHEN SRUK 1/29 JASPER STREET,NOBLE PARK,3174,MONASH CITY COUNCIL,THE SECRETARY,
31120706,BYO Permit,MOORABBIN COMBINED CLUBS,CLUB ROOMS TURNER RD RESERVE,HIGHETT,3190,33 TURNER RD TURNER RD RESERVE,HIGHETT,3190,KINGSTON CITY COUNCIL,THE SECRETARY,
31120798,BYO Permit,UPWEY ANGLING CLUB,MAHONEY STREET,UPWEY,3158,P.O. BOX 7104,UPPER FERNTREE GULLY,3156,YARRA RANGES SHIRE COUNCIL,UPWEY ANGLING CLUB INC,
31121435,BYO Permit,MOUNT MARTHA GOLF CLUB,FOREST DRIVE,MOUNT MARTHA,3934,PO BOX 147,MOUNT MARTHA,3934,MORNINGTON PENINSULA SHIRE COUNCIL,MOUNT MARTHA GOLF CLUB,
31121443,BYO Permit,BATTERHAM PARK TENNIS CLUB,MILLER ROAD,THE BASIN,3154,C/- SECRETARY P O BOX 164,THE BASIN,3154,KNOX CITY COUNCIL,BATTERHAM PARK TENNIS CLUB,
31121972,BYO Permit,CRETAN BROTHERHOOD,150 NICHOLSON STREET,BRUNSWICK EAST,3057,150 NICHOLSON STREET,BRUNSWICK EAST,3057,MORELAND CITY COUNCIL,EVANS BRAOUDAKIS,
31121998,BYO Permit,BALWYN COMMUNITY CENTRE SOCIALCLUB,412 WHITEHORSE ROAD,SURREY HILLS,3127,412 WHITEHORSE ROAD,SURREY HILLS,3127,BOROONDARA CITY COUNCIL,THE SECRETARY,
31122059,BYO Permit,ELEY PARK COMMUNITY ASSOCIATION INC,87 ELEY ROAD,BLACKBURN SOUTH,3130,P O BOX 3,BLACKBURN SOUTH,3130,WHITEHORSE CITY COUNCIL,ELEY PARK COMMUNITY ASSOCIATION INC,
31122075,BYO Permit,WILLISON PARK TENNIS CLUB,MURDOCH STREET,CAMBERWELL,3124,P O BOX 409,CAMBERWELL,3124,BOROONDARA CITY COUNCIL,WILLISON PARK TENNIS CLUB,
31122091,BYO Permit,WANTIRNA TENNIS CLUB,CNR MOUNTAIN HIGHWAY & BURWOOD HIGHWAY,WANTIRNA,3152,C/- THE TREASURER PO BOX 5295,STUDFIELD,3152,KNOX CITY COUNCIL,WANTIRNA TENNIS CLUB INC,
31122229,BYO Permit,MAYFIELD PARK TENNIS CLUB,35 MAYFIELD DRIVE,MT WAVERLEY,3149,PO BOX 2633,MT WAVERLEY,3149,MONASH CITY COUNCIL,MAYFIELD PARK TENNIS CLUB,
31122326,BYO Permit,MONBULK TENNIS CLUB,MOORES ROAD,MONBULK,3793,P O BOX 198,MONBULK,3793,YARRA RANGES SHIRE COUNCIL,MONBULK TENNIS CLUB INC,
31122449,BYO Permit,VALGUARNERA SOCIAL CLUB,NETTLEBECK ROAD,CLAYTON SOUTH,3169,PO BOX 1288 RMDC,CLAYTON SOUTH,3169,MONASH CITY COUNCIL,VALGUARNERA SOCIAL CLUB,
31122465,BYO Permit,RED HILL TENNIS CLUB TENNIS CLUB ROOMS,TENNIS CLUB ROOMS RED HILL RECREATION RESERVE RE,RED HILL,3937,P O BOX 224 RED HILL RECREATION RESERVE RE,RED HILL,3937,MORNINGTON PENINSULA SHIRE COUNCIL,RED HILL TENNIS CLUB,
31122512,BYO Permit,SERBIAN COMMUNITY CENTRE,CNR PERRY ROAD & CHURCH ROAD,KEYSBOROUGH,3173,CNR PERRY ROAD & CHURCH ROAD,KEYSBOROUGH,3173,GREATER DANDENONG CITY COUNCIL,SERBIAN COMMUNITY CENTRE,
31130028,BYO Permit,THE DIAMOND VALLEY RACING PIGEON CLUB INC,PETRIE PARK MOUNTAINVIEW ROAD,MONTMORENCY,3094,5 BRONWYN COURT MOUNTAINVIEW ROAD,RESEARCH,3095,NILLUMBIK SHIRE COUNCIL,THE DIAMOND VALLEY RACING PIGEON CLUB INC,
31130044,BYO Permit,RYE TENNIS CLUB,RECREATION ROAD,RYE,3941,P O BOX 82,RYE,3941,MORNINGTON PENINSULA SHIRE COUNCIL,RYE TENNIS CLUB INC,
31130109,BYO Permit,HIGHMOOR UNITING TENNIS CLUB,4-6 LE PAGE STREET,MOORABBIN,3189,C/- TREASURER- HIGHMOOR UNITING TENNIS CLUB 4-6 LE PAGE STREET,MOORABBIN,3189,KINGSTON CITY COUNCIL,HIGHMOOR UNITING TENNIS CLUB INC,
31130125,BYO Permit,MACLEOD TENNIS CLUB,ABERDEEN ROAD,MACLEOD,3085,PO BOX 824,MACLEOD,3085,BANYULE CITY COUNCIL,MACLEOD TENNIS CLUB,
31130133,BYO Permit,NISYRIAN SOCIETY PANAGIA THERMIANI,833 SYDNEY ROAD,BRUNSWICK,3056,833 SYDNEY ROAD,BRUNSWICK,3056,MORELAND CITY COUNCIL,NISYRIAN SOCIETY PANAGIA THERMIANI,
31130256,BYO Permit,TEMPLESTOWE PARK TENNIS CLUB,94-140 PORTER STREET,TEMPLESTOWE,3106,94-140 PORTER STREET,TEMPLESTOWE,3106,MANNINGHAM CITY COUNCIL,TEMPLESTOWE PARK TENNIS CLUB INC,
31130353,BYO Permit,YARRAVIEW SOCIAL GOLF CLUB,BUNDOORA PARK GOLF COURSE PLENTY ROAD,BUNDOORA,3083,YARTRAVIEW SOCIAL GOLF CLUB 9 NEVIS COURT,BUNDOORA,3083,WHITTLESEA CITY COUNCIL,YARRAVIEW SOCIAL GOLF CLUB INC,
31130418,BYO Permit,"PANKOAKI BROTHERHOOD OF VIC ""O IPPOCRATES"" ASSOCIA",1 BASTINGS STREET,NORTHCOTE,3070,1 BASTINGS STREET,NORTHCOTE,3070,DAREBIN CITY COUNCIL,"PANKOAKI BROTHERHOOD OF VIC ""O IPPOCRATES"" ASSOCIATION INC",
31130557,BYO Permit,THE MONTROSE TENNIS CLUB,MONTROSE RESERVE MOUNT DANDENONG TOURIST ROAD,MONTROSE,3765,P O BOX 2 MOUNT DANDENONG TOURIST ROAD,MONTROSE,3765,YARRA RANGES SHIRE COUNCIL,THE MONTROSE TENNIS CLUB INC,
31130620,BYO Permit,SOUTH HAWTHORN TENNIS CLUB,CORNER ANDERSON ROAD & WIDFORD STREET,EAST HAWTHORN,3123,MR BRETT SOMERVILLE 2/44 OSBORN AVENUE,GLEN IRIS,3146,BOROONDARA CITY COUNCIL,SOUTH HAWTHORN TENNIS CLUB INC,
31130646,BYO Permit,ORMOND TENNIS CLUB,CNR MALANE & FOCH STREETS,ORMOND,3163,THE SECRETARY 33 FOSTER AVENUE,GLENHUNTLY,3163,GLEN EIRA CITY COUNCIL,ORMOND TENNIS CLUB INC,
31130688,BYO Permit,THE HUT GALLERY,157 UNDERWOOD ROAD,FERNTREE GULLY,3156,P O BOX 8167,FERNTREE GULLY,3156,KNOX CITY COUNCIL,FERNTREE GULLY ARTS SOCIETY INC,
31130735,BYO Permit,YARRAVILLE TENNIS CLUB,CNR HYDE & HARRIS STREETS,SEDDON,3011,C/O MRS ELIZABETH ROUND 5A PRISMALL ST,ALTONA NORTH,3025,MARIBYRNONG CITY COUNCIL,YARRAVILLE TENNIS CLUB INC.,
31130785,BYO Permit,CANTERBURY TENNIS CLUB,25A CROYDON ROAD,SURREY HILLS,3127,35 SHADY GROVE,NUNAWADING,3131,BOROONDARA CITY COUNCIL,CANTERBURY TENNIS CLUB,
31130793,BYO Permit,EAST CAMBERWELL TENNIS CLUNB INC.,RIVERSDALE PARK RIVERSDALE RD,CAMBERWELL,3124,P.O. BOX 10200 RIVERSDALE RD,CAMBERWELL,3124,BOROONDARA CITY COUNCIL,EAST CAMBERWELL TENNIS CLUB INC.,
31150044,BYO Permit,PARKWOOD TENNIS CLUB,QUAMBEE RESERVE WONGA ROAD,RINGWOOD,3134,PO BOX 2262 WONGA ROAD,NORTH RINGWOOD,3134,MAROONDAH CITY COUNCIL,PARKWOOD TENNIS CLUB INC,
31150052,BYO Permit,MILL PARK TENNIS CLUB,156 MILL PARK DRIVE,MILL PARK,3082,P O BOX 13,MILL PARK,3082,WHITTLESEA CITY COUNCIL,MILL PARK TENNIS CLUB INC,
31150060,BYO Permit,HAMPTON LIFE SAVING CLUB,FORESHORE BEACH ROAD,HAMPTON,3188,PO BOX 1124 BEACH ROAD,HAMPTON,3188,BAYSIDE CITY COUNCIL,HAMPTON LIFE SAVING CLUB INC,
31150086,BYO Permit,GLENBURN TENNIS CLUB,MULGRAVE STREET,GLEN WAVERLEY,3150,MULGRAVE STREET,GLEN WAVERLEY,3150,MONASH CITY COUNCIL,GLENBURN TENNIS CLUB,
31150109,BYO Permit,HEATHMONT PARKER RESERVE TENNIS CLUB,H.E.PARKER RESERVE END HEATHMONT ROAD,RINGWOOD EAST,3135,PO BOX 695 END HEATHMONT ROAD,HEATHMONT,3135,MAROONDAH CITY COUNCIL,HEATHMONT PARKER RESERVE TENNIS CLUB,
31150133,BYO Permit,MOUNTAIN GATE TENNIS CLUB,RETA MATTHEWS RESERVE BURKE ROAD,FERNTREE GULLY,3156,PO BOX 1155 MOUNTAIN GATE,FERNTREE GULLY,3156,KNOX CITY COUNCIL,MOUNTAIN GATE TENNIS CLUB INC,
31150141,BYO Permit,ST ANDREWS PONY CLUB,LOT 6 180 CLINTONS ROAD,SMITHS GULLY,3760,P O BOX 59 180 CLINTONS ROAD,ST ANDREWS,3761,NILLUMBIK SHIRE COUNCIL,ST ANDREWS PONY CLUB INC,
31150167,BYO Permit,GRACE VALLEY TENNIS CLUB,PLENTY LANE,GREENSBOROUGH,3088,PO BOX 526,GREENSBOROUGH,3088,NILLUMBIK SHIRE COUNCIL,GRACE VALLEY TENNIS CLUB INC,
31150175,BYO Permit,ELWOOD CROQUET CLUB,HEAD STREET,ELWOOD,3184,PO BOX 481,ELWOOD,3184,PORT PHILLIP CITY COUNCIL,ELWOOD CROQUET CLUB INC,
31150191,BYO Permit,RESEARCH TENNIS CLUB,RESEARCH PARK MAIN ROAD,RESEARCH,3095,PO BOX 1038 MAIN ROAD,RESEARCH,3095,NILLUMBIK SHIRE COUNCIL,RESEARCH TENNIS CLUB,
31150222,BYO Permit,MORNINGTON CROQUET CLUB,CIVIC RESERVE DUNNS ROAD,MORNINGTON,3931,PO BOX 1063 DUNNS ROAD,MORNINGTON,3931,MORNINGTON PENINSULA SHIRE COUNCIL,MORNINGTON CROQUET CLUB INC,
31150280,BYO Permit,GREYTHORN SOCIAL CLUB,LEIGH PARK PAVILLION CNR JASPERFOLD & PENN STREETS,BALWYN NORTH,3104,7 LORRAINE AVENUE CNR JASPERFOLD & PENN STREETS,BOX HILL NORTH,3129,BOROONDARA CITY COUNCIL,GREYTHORN SOCIAL CLUB,
31150298,BYO Permit,EPPING SQUASH & FITNESS CENTRE,69 COULSTOCK STREET,EPPING,3076,P.O. BOX 151,EPPING,3076,WHITTLESEA CITY COUNCIL,PLASCHEM PTY LTD,
31150329,BYO Permit,KOONUNG PARK TENNIS CLUB,SPRINGFIELD ROAD,BLACKBURN NORTH,3130,PO BOX 110,KERRIMUIR,3129,WHITEHORSE CITY COUNCIL,KOONUNG PARK TENNIS CLUB INC,
31150353,BYO Permit,KEON PARK TENNIS CLUB,WAGGA ROAD,RESERVOIR,3073,PO BOX 282,RESERVOIR,3073,WHITTLESEA CITY COUNCIL,KEON PARK TENNIS CLUB INC,
31150361,BYO Permit,CRANROSS TENNIS CLUB,RUTHVEN RESERVE ALBERT STREET,PRESTON,3072,38 PLEASANT VIEW DRIVE ALBERT STREET,PRESTON,3072,DAREBIN CITY COUNCIL,CRANROSS TENNIS CLUB INC,
31150400,BYO Permit,KINGSBURY TENNIS CLUB,BROWNING STREET,KINGSBURY,3083,P O BOX 204,KINGSBURY,3083,WHITTLESEA CITY COUNCIL,KINGSBURY TENNIS CLUB INC,
31150426,BYO Permit,ST ANDREWS TENNIS CLUB,MAIN ROAD,ST ANDREWS,3761,P O BOX 4,ST ANDREWS,3761,NILLUMBIK SHIRE COUNCIL,ST ANDREWS TENNIS CLUB INC,
31150434,BYO Permit,BUNDOORA TENNIS CLUB,TELFER RESERVE OFF GREENWOOD DRIVE,BUNDOORA,3083,PO BOX 327 OFF GREENWOOD DRIVE,BUNDOORA,3083,WHITTLESEA CITY COUNCIL,BUNDOORA TENNIS CLUB INC,
31150442,BYO Permit,CROYDON TENNIS CLUB,CROYDON PARK HEWISH ROAD,CROYDON,3136,PO BOX 73 HEWISH ROAD,CROYDON,3136,MAROONDAH CITY COUNCIL,CROYDON TENNIS CLUB INC,
31150450,BYO Permit,ST ANDREW'S GARDINER TENNIS CLUB,KYARRA ROAD,GLEN IRIS,3146,KYARRA ROAD,GLEN IRIS,3146,STONNINGTON CITY COUNCIL,ST ANDREW'S GARDINER TENNIS CLUB INC,
31150468,BYO Permit,PLENTY TENNIS CLUB,CNR YAN YEAN ROAD & MEMORIAL DRIVE,PLENTY,3090,PO BOX 126,DIAMOND CREEK,3089,NILLUMBIK SHIRE COUNCIL,PLENTY TENNIS CLUB INC,
31150476,BYO Permit,EAGLEMONT TENNIS CLUB,OFF THE BOULEVARD,EAST IVANHOE,3079,PO BOX 62,IVANHOE,3079,BANYULE CITY COUNCIL,EAGLEMONT TENNIS CLUB INC,
31150507,BYO Permit,WATTLE GLEN TENNIS CLUB,35 KANGAROO GROUND ROAD,WATTLE GLEN,3096,35 KANGAROO GROUND ROAD,WATTLE GLEN,3096,NILLUMBIK SHIRE COUNCIL,WATTLE GLEN TENNIS CLUB INC,
31150581,BYO Permit,YALLAMBIE TENNIS CLUB,3 MOOLA CLOSE,YALLAMBIE,3085,PO BOX 158,ROSANNA,3084,BANYULE CITY COUNCIL,YALLAMBIE TENNIS CLUB INC,
31150654,BYO Permit,GREENSBOROUGH TENNIS CLUB,GREENSBOROUGH PARK DIAMOND CREEK ROAD,GREENSBOROUGH,3088,5 MURRAGONG AVENUE DIAMOND CREEK ROAD,BUNDOORA,3083,NILLUMBIK SHIRE COUNCIL,GREENSBOROUGH TENNIS CLUB INC,
31150701,BYO Permit,MONTMORENCY TENNIS CLUB,DOBSON ROAD,MONTMORENCY,3094,PO BOX 298,GREENSBOROUGH,3088,NILLUMBIK SHIRE COUNCIL,MONTMORENCY TENNIS CLUB INC,
31150735,BYO Permit,WEST BRUNSWICK TENNIS CLUB,425 VICTORIA STREET,BRUNSWICK,3056,P O BOX 72,WEST BRUNSWICK,3055,MORELAND CITY COUNCIL,WEST BRUNSWICK TENNIS CLUB INC,
31150785,BYO Permit,GREEK DEMOCRITUS HOUSE,583 HIGH STREET,NORTHCOTE,3070,583 HIGH STREET,NORTHCOTE,3070,DAREBIN CITY COUNCIL,GREEK DEMOCRITUS  HOUSE PTY LTD,
31150832,BYO Permit,KEW CROQUET CLUB,VICTORIA PARK HIGH STREET,KEW,3101,UNIT 3 13 RELOWE CRESCENT,BALWYN,3103,BOROONDARA CITY COUNCIL,KEW CROQUET CLUB INC,
31150874,BYO Permit,HEALESVILLE TENNIS CLUB INC,QUEENS PARK DON ROAD,HEALESVILLE,3777,P O BOX 586 DON ROAD,HEALESVILLE,3777,YARRA RANGES SHIRE COUNCIL,HEALESVILLE TENNIS CLUB INC,
