Licence No,Licence Category,Trading As,Address,Suburb,Postcode,Postal Address,Postal Suburb,Postal Postcode,Council Name,Licensee,
31104530,BYO Permit,COWES YACHT CLUB,CNR ESPLANADE & OSBORNE AVENUE,COWES,3922,P O BOX 114 AVENUE,COWES,3922,BASS COAST SHIRE COUNCIL,THE SECRETARY,
31107677,BYO Permit,BENDIGO ROWING CLUB,LAKE WEEROONA,BENDIGO,3550,50 MILTON AVENUE,BENDIGO,3550,GREATER BENDIGO CITY COUNCIL,DENIS NIHILL,
31107994,BYO Permit,MELBOURNE SOARING CLUB,MELBOURNE SOARING CENTRE BACCHUS MARSH AIRFIELD,BACCHUS MARSH,3340,66 WATERDALE RD BACCHUS MARSH AIRFIELD,IVANHOE,3079,MOORABOOL SHIRE COUNCIL,THE SECRETARY,
31108869,BYO Permit,WONGUNGARRA ALPINE SKI CLUB,ALLOTMENT 11 SECTION 1 PARISH OF YERTOO,MOUNT HOTHAM,3741,PO BOX 4334 OF YERTOO,KNOX CITY,3152,ALPINE SHIRE COUNCIL,WONGUNGARRA ALPINE SKI CLUB,
31109158,BYO Permit,TAWONGA BOWLING CLUB INC,KIEWA VALLEY HIGHWAY,TAWONGA,3697,P O BOX 14,MOUNT BEAUTY,3699,ALPINE SHIRE COUNCIL,TAWONGA BOWLING CLUB,
31109938,BYO Permit,SIMPSON CAR CLUB,SIMPSON SPEEDWAY CLUBROOMS,CORADJIL VIA COBDEN,3256,RMB 1245,SCOTTS CREEK,3267,CORANGAMITE SHIRE COUNCIL,SIMPSON CAR CLUB,
31110248,BYO Permit,MOGUL SKI CLUB,SCHUSS STREET,FALLS CREEK,3699,PO BOX 225,SANDRINGHAM,3191,ALPINE SHIRE COUNCIL,MOGUL SKI CLUB,
31111383,BYO Permit,NEWSTEAD BOWLING CLUB,HILLIER STREET,NEWSTEAD,3462,HILLIER STREET,NEWSTEAD,3462,MOUNT ALEXANDER SHIRE COUNCIL,NEWSTEAD BOWLING CLUB,
31113018,BYO Permit,ORMOND SKI CLUB,LOT 15,HOTHAM HEIGHTS,3741,C/O DAVID WALKER 1/175 FITZROY STREET,FITZROY,3065,ALPINE SHIRE COUNCIL,ORMOND SKI CLUB,
31113262,BYO Permit,AUSTRALIAN ALPINE CLUB,SITE 86 FALLS CREEK ROAD,FALLS CREEK,3699,P O BOX 140,DEEPDENE,3103,ALPINE SHIRE COUNCIL,AUSTRALIAN ALPINE CLUB,
31113424,BYO Permit,APEA SKI CLUB,ALPINE HIGHWAY,MOUNT HOTHAM,3741,C/- I TAYLOR 63 CROMWELL ROAD,SOUTH YARRA,3141,ALPINE SHIRE COUNCIL,APEA SKI CLUB,
31113733,BYO Permit,BENMORE SKI CLUB,LOT 29 BREATHTAKER RD ALPINE VILLAGE,MOUNT BULLER,3723,C/- STEPHEN PHILLIPS 8 LINSEY STREET,COBURG,3058,MANSFIELD SHIRE COUNCIL,BENMORE SKI CLUB,
31113961,BYO Permit,POLISH ASSOCIATION OF BALLARAT,COPERNICUS HALL 26-28 ORION STREET,SEBASTOPOL,3356,26-28 ORION ST COPERNICUS HALL,SEBASTOPOL,3356,BALLARAT CITY COUNCIL,POLISH ASSOCIATION OF BALLARAT,
31114006,BYO Permit,CSIR SKI CLUB,THE C S I R DRIFT CHALET HOTHAM HEIGHTS VILLAGE,HOTHAM HEIGHTS,3741,PO BOX 15 HOTHAM HEIGHTS VILLAGE,CARNEGIE,3163,ALPINE SHIRE COUNCIL,C S I R SKI CLUB,
31114014,BYO Permit,LANGI-TAAN SKI CLUB,SITE 2 DAVENPORT ESTATE,HOTHAM HEIGHTS,3741,P O BOX 87,ASHBURTON,3147,ALPINE SHIRE COUNCIL,LANGI-TAAN SKI CLUB,
31114111,BYO Permit,SCHUSS SKI CLUB,SCHUSS LODGE 41 STIRLING ROAD,MT BULLER,3723,PO BOX 796 41 STIRLING ROAD,BRAESIDE,3195,MANSFIELD SHIRE COUNCIL,SCHUSS SKI CLUB,
31114331,BYO Permit,A H D STJEPAN RADIC BALLARAT CLUB,LOT 2357 KLINE STREET,BALLARAT,3350,P O BOX 531 KLINE STREET,BALLARAT,3350,BALLARAT CITY COUNCIL,A H D STJEPAN RADIC BALLARAT CLUB,
31114349,BYO Permit,COORA VALLEY SKI CLUB,LOT 11,MOUNT BAW BAW,3833,137 BITTERN DROMANA ROAD,MERRICKS NORTH,3926,BAW BAW SHIRE COUNCIL,COORA VALLEY SKI CLUB,
31114420,BYO Permit,ED SKI LODGE,29 ALPINE VILLAGE (LOT),MOUNT BAW BAW,3825,ED SKI LODGE C/- 78 THE KELLBOURNE DRIVE,ROWVILLE,3178,LATROBE CITY COUNCIL,ED SKI LODGE,
31114527,BYO Permit,COLLEGIANS SKI CLUB,BREATHTAKER ROAD,MOUNT BULLER,3723,211 WAVERLEY ROAD,MALVERN EAST,3145,MANSFIELD SHIRE COUNCIL,COLLEGIANS SKI CLUB,
31114925,BYO Permit,REINDEER SKI CLUB,LOT 28 BREATHTAKER ROAD,MOUNT BULLER,3723,UNIT 2 17 ST LEONARDS AVENUE,ST KILDA,3182,MANSFIELD SHIRE COUNCIL,REINDEER SKI CLUB INC,
31114983,BYO Permit,AJAX SKI CLUB,LOT 54 STIRLING ROAD,MOUNT BULLER,3723,P O BOX 247,ELSTERNWICK,3185,MANSFIELD SHIRE COUNCIL,AJAX SKI CLUB,
31115141,BYO Permit,DU NORD SKI CLUB,SITE NO 2 ALPINE VILLAGE,MOUNT BAW BAW,3833,57 DODD STREET,ST ANDREWS,3761,BAW BAW SHIRE COUNCIL,B METSAR,
31115167,BYO Permit,TRAPDOOR SKI CLUB,LOT 28 ALPINE VILLAGE,MOUNT HOTHAM,3741,BOX 38 393 WATTLETREE ROAD,MALVERN EAST,3145,ALPINE SHIRE COUNCIL,P V CORR,
31115256,BYO Permit,JUNGFRAU SKI CLUB,CHAMOIS ROAD,MOUNT BULLER,3722,PO BOX 188,NORTHCOTE,3070,MANSFIELD SHIRE COUNCIL,ROGER WILLIAM GREENE,
31115840,BYO Permit,PEGASUS ALPINE SKI CLUB,PEGASUS LODGE DAVENPORT SUBDIVISION,MT HOTHAM,3741,P O BOX 207 SUBDIVISION,GEELONG,3220,ALPINE SHIRE COUNCIL,R NATION,
31116155,BYO Permit,NUTCRACKER SKI CLUB,SITE 103 GOAL POST ROAD,MT BULLER,3723,35 LUCKINS ROAD GOAL POST ROAD,BENTLEIGH,3204,MANSFIELD SHIRE COUNCIL,NUTCRACKER SKI CLUB,
31116171,BYO Permit,VALHALLA SKI CLUB,DARGO CRT,MT HOTHAM,3741,PO BOX 375,KEW EAST,3102,ALPINE SHIRE COUNCIL,PAUL VIVIAN RUSH,
31116375,BYO Permit,KOOMERANG SKI CLUB,CLUBROOMS SUMMIT ROAD,MT BULLER,3723,1 MORRISON STREET SUMMIT ROAD,HAWTHORN,3122,MANSFIELD SHIRE COUNCIL,KOOMERANG SKI CLUB,
31116456,BYO Permit,CHAMOIS SKI CLUB,6 COW CAMP LANE,MOUNT BULLER,3723,C/- MR A McGANN 22 ROBINSON STREET,MALVERN,3144,MANSFIELD SHIRE COUNCIL,CHAMOIS SKI CLUB INC,
31117355,BYO Permit,TALLAWARRA SKI CLUB,TALLAWARRA SKI CLUB LODGE SITE 15 DAVENPORT SUBDIVISION,MOUNT HOTHAM,3741,41 COMBERMERE STREET SITE 15 DAVENPORT SUBDIVISION,ABERFELDIE,3040,ALPINE SHIRE COUNCIL,SECRETARY,
31117541,BYO Permit,ASGAARD ALPINE CLUB,LOT 4 DAVENPORT SUBDIVISION,HOTHAM HEIGHTS,3741,G.P.O.BOX 1011H DAVENPORT SUBDIVISION,MELBOURNE,3001,ALPINE SHIRE COUNCIL,SECRETARY,
31117703,BYO Permit,MYRTLEFORD SKI CLUB,CLUBROOMS,FALLS CREEK,3699,P.O.BOX 469,MYRTLEFORD,3737,ALPINE SHIRE COUNCIL,MYRTLEFORD SKI CLUB,
31117973,BYO Permit,HOTHAM MAROUKA SKI CLUB,DAVENPORT SUBDIVISION,HOTHAM HEIGHTS,3741,P O BOX 428,BULLEEN,3105,ALPINE SHIRE COUNCIL,HOTHAM MAROUKA SKI CLUB INC,
31118034,BYO Permit,ROCKY VALLEY SKI CLUB PTY LTD,SITE 205 SLALOM STREET,FALLS CREEK,3699,PO BOX 71 SLALOM STREET,BRIGHT,3741,ALPINE SHIRE COUNCIL,ROCKY VALLEY SKI CLUB PTY LTD,
31119234,BYO Permit,LATROBE VALLEY YACHT CLUB,,YINNAR,3869,P O BOX 333 HAZELWOOD PONDAGE,MORWELL,3840,LATROBE CITY COUNCIL,SECRETARY,
31120405,BYO Permit,UKRAINIAN ASSOCIATION WODONGA BRANCH,UKRAINIAN ASSOCIATION 3 HUNT ST,WODONGA,3690,3 HUNT STREET 3 HUNT ST,WODONGA,3690,WODONGA CITY COUNCIL,UKRAINIAN ASSOCIATION WODONGA BRANCH,
31121451,BYO Permit,CSIR SKI CLUB,138 DELATITE LANE ALPINE VILLAGE,MOUNT BULLER,3723,PO BOX 15 ALPINE VILLAGE,CARNEGIE,3163,MANSFIELD SHIRE COUNCIL,C S I R SKI CLUB,
31121477,BYO Permit,HORSHAM CYCLING CLUB,MCPHERSON STREET,HORSHAM,3400,P O BOX 306,HORSHAM,3400,HORSHAM RURAL CITY COUNCIL,HORSHAM CYCLING CLUB,
31121752,BYO Permit,QUEENSCLIFF LONSDALE YACHT CLUB,SWAN BAY FORESHORE,QUEENSCLIFF,3225,P O BOX 35,QUEENSCLIFF,3225,QUEENSCLIFFE BOROUGH COUNCIL,QUEENSCLIFF LONSDALE YACHT CLUB INC,
31122237,BYO Permit,GRAVBROT SKI CLUB,DAVENPORT SUBDIVISION,MT HOTHAM,3741,PO BOX 1034,NEWPORT,3015,ALPINE SHIRE COUNCIL,GRAVBROT SKI CLUB INC,
31122520,BYO Permit,KYABRAM SQUASH CLUB,193 FENAUGHTY ST,KYABRAM,3620,193 FENAUGHTY ST,KYABRAM,3620,CAMPASPE SHIRE COUNCIL,DEAN ROBERT HUBBLE,
31130052,BYO Permit,LONSDALE SKI CLUB,SITE 8 MT BAW BAW ALPINE VILLAGE,MOUNT BAW BAW,3825,PO BOX 186 MT BAW BAW ALPINE VILLAGE,DROUIN,3818,LATROBE CITY COUNCIL,LONSDALE SKI CLUB INC,
31130175,BYO Permit,THE MITRE SKI CLUB,THE AVENUE,MT BULLER,3723,C/- MRS B LOWE 30 ANDERSON ROAD,HAWTHORN EAST,3123,MANSFIELD SHIRE COUNCIL,THE MITRE SKI CLUB INC,
31130214,BYO Permit,PORTLAND CLUB,35 PERCY STREET,PORTLAND,3305,P O BOX 326,PORTLAND,3305,GLENELG SHIRE COUNCIL,PORTLAND CLUB,
31130280,BYO Permit,BADMINTON GEELONG,CORIO LEISURE TIME & SQUASH CENTRE ANAKIE ROAD,NORLANE WEST,3214,P O BOX 894 ANAKIE ROAD,GEELONG,3220,GREATER GEELONG CITY COUNCIL,BADMINTON GEELONG INC,
31130379,BYO Permit,COSELA ALPINE CLUB,,FALLS CREEK,3699,PO BOX 129,CARLTON SOUTH,3053,ALPINE SHIRE COUNCIL,COSELA ALPINE CLUB INC,
31130599,BYO Permit,CLIFTON SPRINGS TENNIS CLUB,JETTY ROAD RESERVE JETTY ROAD,CLIFTON SPRINGS,3222,P O BOX 189 JETTY ROAD,DRYSDALE,3222,GREATER GEELONG CITY COUNCIL,CLIFTON SPRINGS TENNIS CLUB,
31130654,BYO Permit,THE R A N SKI CLUB,THE RAN SKI CLUB LODGE BREATHTAKER ROAD,MOUNT BULLER,3723,THE SECRETARY P O BOX 3484,MANUKA,2603,MANSFIELD SHIRE COUNCIL,THE R A N SKI CLUB,
31130662,BYO Permit,OGG SKI CLUB,20 STIRLING ROAD,MOUNT BULLER,3723,P O BOX 3004,GEELONG WEST,3218,MANSFIELD SHIRE COUNCIL,OGG SKI CLUB INC,
31130696,BYO Permit,SCHUSS SKI CLUB,61 PARRALLEL STREET,FALLS CREEK,3699,PO BOX 796,BRAESIDE,3195,ALPINE SHIRE COUNCIL,SCHUSS SKI CLUB LTD,
31130769,BYO Permit,THE BOULEVARD,DW HOPE CENTRE- THE BOULEVARD,CORIO,3214,P O BOX 19,CORIO,3214,GREATER GEELONG CITY COUNCIL,FILIPINO AUST. FRIENDSHIP ASSOC. OF GEELONG INC.,
31150036,BYO Permit,RHYLL YACHT CLUB,BEACH ROAD,RHYLL,3923,PO BOX 8003,RHYLL,3923,BASS COAST SHIRE COUNCIL,RHYLL YACHT CLUB INC,
31150094,BYO Permit,CIRCOLO PENSIONATI ITALIANI OF MILDURA & SUNRAYSIA,IRYMPLE MULTICULTURAL CENTRE 3 2091-2095 15TH STREET,IRYMPLE,3498,MRS B TORNATORA UNIT 31/333 EIGHTH STREET,MILDURA,3500,MILDURA RURAL CITY COUNCIL,CIRCOLO PENSIONATI ITALIANI OF MILDURA AND SUNRAYSIA INC.,
31150117,BYO Permit,ALPINE CLUB OF VICTORIA,LOT 4 GREAT ALPINE ROAD,MOUNT HOTHAM,3741,MS JANE SALVESON 27 FERNCROFT AVENUE,MALVERN EAST,3145,ALPINE SHIRE COUNCIL,ALPINE CLUB OF VICTORIA INC,
31150125,BYO Permit,THE ALPINE CLUB OF VICTORIA SKI LODGE,THE AVENUE,MOUNT BULLER,3723,MS JANE SALVESON 27 FERNCROFT AVENUE,MALVERN EAST,3145,MANSFIELD SHIRE COUNCIL,ALPINE CLUB OF VICTORIA INC,
31150159,BYO Permit,ANGLESEA MOTOR YACHT CLUB,MELBA PARADE POINT ROAD KNIGHT,ANGLESEA,3230,10 PICKWORTH DRIVE POINT ROAD KNIGHT,ANGLESEA,3230,SURF COAST SHIRE COUNCIL,ANGLESEA MOTOR YACHT CLUB INC,
31150230,BYO Permit,CORIO SQUASH CLUB,ANAKIE ROAD,CORIO,3214,CORIO SQUASH CLUB INC 15 BORDEAUX DRIVE,WAURN PONDS,3216,GREATER GEELONG CITY COUNCIL,CORIO SQUASH CLUB INCORPORATED,
31150248,BYO Permit,HAMLYN PARK TENNIS CLUB,CAREY STREET,HAMLYN HEIGHTS,3215,C/- BRIAN HUBBER - TREASURER 15 MARATHON AVENUE,HAMLYN HEIGHTS,3215,GREATER GEELONG CITY COUNCIL,HAMLYN PARK TENNIS CLUB INC,
31150303,BYO Permit,KERANG LAKE CHARM POWER BOAT CLUB,KERANG LAKE CHARM POWER BOAT CLUB LAKE CHARM VIA KERANG,KERANG,3579,P O BOX 93 LAKE CHARM VIA KERANG,KERANG,3579,GANNAWARRA SHIRE COUNCIL,KERANG LAKE CHARM POWER BOAT CLUB,
31150311,BYO Permit,GEELONG ETHNIC COMMUNITIES COUNCIL,VIRGINIA TODD COMMUNITY CENTRE 9-15 CLARENCE STREET,GEELONG WEST,3218,VIRGINIA TODD COMMUNITY CENTRE 9-15 CLARENCE STREET,GEELONG WEST,3218,GREATER GEELONG CITY COUNCIL,GEELONG ETHNIC COMMUNITIES COUNCIL INC,
31150387,BYO Permit,KORUMBURRA ITALIAN SOCIAL CLUB,38 BRIDGE STREET,KORUMBURRA,3950,38 BRIDGE STREET,KORUMBURRA,3950,SOUTH GIPPSLAND SHIRE COUNCIL,KORUMBURRA ITALIAN SOCIAL CLUB INC,
31150418,BYO Permit,LAKE CULLULLERAINE YACHT CLUB,JOHANSEN MEMORIAL RESERVE,LAKE CULLULLERAINE,3496,PO BOX 1720,MILDURA,3500,MILDURA RURAL CITY COUNCIL,LAKE CULLULLERAINE YACHT CLUB INC,
31150484,BYO Permit,MERRIJIG SKI CLUB CO-OPERATIVE,38 STIRLING TRACK,MOUNT BULLER,3723,PO BOX 6026,HAWTHORN WEST,3122,MANSFIELD SHIRE COUNCIL,MERRIJIG SKI CLUB CO-OPERATIVE LIMITED,
31150515,BYO Permit,CORIO SKI CLUB,LOT 139 DELATITE LANE,MOUNT BULLER,3723,2/30 EVAN STREET,PARKDALE,3195,MANSFIELD SHIRE COUNCIL,CORIO SKI CLUB INCORPORATED,
31150523,BYO Permit,DOWNHILL SKI CLUB,5 BREATHTAKER ROAD,MOUNT BULLER,3723,PO BOX 8727,ARMADALE,3143,MANSFIELD SHIRE COUNCIL,DOWNHILL SKI CLUB INC,
31150549,BYO Permit,THE SKI CLUB OF VICTORIA,KANDAHAR LODGE SUMMIT ROAD,MOUNT BULLER,3723,PO BOX 62 SUMMIT ROAD,MOUNT BULLER,3723,MANSFIELD SHIRE COUNCIL,THE SKI CLUB OF VICTORIA,
31150557,BYO Permit,SPARK SKI CLUB,LOT 58 CHAMOIS ROAD,MOUNT BULLER,3723,342 YARRA ROAD,WONGA PARK,3115,MANSFIELD SHIRE COUNCIL,SPARK SKI CLUB PTY LTD,
31150565,BYO Permit,ALKIRA SKI CLUB,SITE 82- CHAMOIS CLOSE,MOUNT BULLER,3723,PO BOX 174,ROSEBUD,3939,MANSFIELD SHIRE COUNCIL,ALKIRA SKI CLUB INC,
31150599,BYO Permit,ELTHAM SKI CLUB,17 THE AVENUE,MOUNT BULLER,3723,140 COPPIN STREET,RICHMOND,3121,MANSFIELD SHIRE COUNCIL,ELTHAM SKI CLUB PTY LTD,
31150612,BYO Permit,BENALLA SKI CLUB,10 CHAMOIS ROAD,MOUNT BULLER,3723,PO BOX 12,BENALLA,3672,MANSFIELD SHIRE COUNCIL,BENALLA SKI CLUB INC,
31150620,BYO Permit,MULLIGATAWNY SKIERS ASSOCIATION,36 STIRLING ROAD,MOUNT BULLER,3723,9 RANGEVIEW AVE,MALVERN EAST,3145,MANSFIELD SHIRE COUNCIL,MULLIGATAWNY SKIERS ASSOCIATION INC,
31150638,BYO Permit,MEKI SKI CLUB,144 DELATITE LANE,MOUNT BULLER,3723,33 CARLTON STREET,MCKINNON,3204,MANSFIELD SHIRE COUNCIL,MEKI SKI CLUB INC,
31150646,BYO Permit,GEELONG SKI CLUB,26-1 BREATHTAKER ROAD,MOUNT BULLER,3723,C/O PETER BACKWELL 85 PROSPECT HILL ROAD,CAMBERWELL,3124,MANSFIELD SHIRE COUNCIL,GEELONG SKI CLUB INC,
31150688,BYO Permit,M SKI CLUB INC,9 COW CAMP LANE,MOUNT BULLER,3723,PO BOX 714,RESERVOIR,3073,MANSFIELD SHIRE COUNCIL,M SKI CLUB INC,
31150696,BYO Permit,OMEGA SKI CLUB,SITE 9 COW CAMP LANE,MOUNT BULLER,3723,2/296 BEACONSFIELD PARADE,MIDDLE PARK,3206,MANSFIELD SHIRE COUNCIL,OMEGA SKI CLUB INC,
31150719,BYO Permit,OPAL SKI CLUB,LOT 96 GOAL POST ROAD,MOUNT BULLER,3723,732 BURWOOD ROAD GOAL POST ROAD,HAWTHORN EAST,3123,BENALLA RURAL CITY COUNCIL,OLD PARADIANS' ALPINE LODGE INC,
31150727,BYO Permit,AKLA SKI CLUB,36 THE AVENUE,MOUNT BULLER,3723,5 PERCY STREET,BALWYN,3103,MANSFIELD SHIRE COUNCIL,AKLA SKI CLUB INC,
31150743,BYO Permit,UNIVERSITY SKI CLUB,100 PARALLEL STREET,FALLS CREEK,3699,PO BOX 93,SANDOWN VILLAGE,3171,ALPINE SHIRE COUNCIL,UNIVERSITY SKI CLUB,
31150751,BYO Permit,FOUR WINDS SKI CLUB,1 GOAL POST ROAD,MOUNT BULLER,3723,PO BOX 228,HANWOOD,2680,BENALLA RURAL CITY COUNCIL,FOUR WINDS SKI CLUB INC,
31150793,BYO Permit,SKALI SKI CLUB,9 CANDLEHEATH DRIVE,MOUNT BAW BAW,3833,C/- TOM BAUER 28 HEATHER STREET,HAMLYN HEIGHTS,3215,BAW BAW SHIRE COUNCIL,SKALI SKI CLUB INC,
31150808,BYO Permit,POLISH COMMUNITY ASSOCIATION IN GEELONG,35 RYRIE STREET,GEELONG,3220,46-48 FELLMONGERS ROAD,BREAKWATER,3219,GREATER GEELONG CITY COUNCIL,POLISH COMMUNITY ASSOCIATION IN GEELONG INC,
31150816,BYO Permit,SHEPPARTON ALPINE CLUB,DARGO COURT,MOUNT HOTHAM,3741,PETER DOYLE - SECRETARY 43 ELEVENTH AVENUE,ANGLESEA,3230,ALPINE SHIRE COUNCIL,SHEPPARTON ALPINE CLUB INC,
31150866,BYO Permit,RED CLIFFS LAWN TENNIS CLUB,CALDER HIGHWAY,RED CLIFFS,3496,PO BOX 751,RED CLIFFS,3496,MILDURA RURAL CITY COUNCIL,RED CLIFFS LAWN TENNIS CLUB INC,
31150955,BYO Permit,EILDON TENNIS CLUB,EILDON ROAD,EILDON,3713,PO BOX 18,EILDON,3713,MURRINDINDI SHIRE COUNCIL,EILDON TENNIS CLUB INC,
31150989,BYO Permit,BELMONT CROQUET CLUB,161 FRANCIS STREET,BELMONT,3216,PO BOX 645,BELMONT,3216,GREATER GEELONG CITY COUNCIL,BELMONT CROQUET CLUB INC,
31150997,BYO Permit,TRARALGON CROQUET CLUB,BREED STREET,TRARALGON,3844,PO BOX 635,TRARALGON,3844,LATROBE CITY COUNCIL,TRARALGON CROQUET CLUB INC,
31151016,BYO Permit,NHILL MOTOR SPORTS CLUB,460 JEPARIT ROAD,NHILL,3418,PO BOX 56,NHILL,3418,HINDMARSH SHIRE COUNCIL,NHILL MOTOR SPORTS CLUB INC,
31151074,BYO Permit,BOGONG SKI CLUB,FALLS CREEK ROAD,FALLS CREEK,3699,11 RUTLAND STREET,NIDDRIE,3042,ALPINE SHIRE COUNCIL,BOGONG SKI CLUB INC,
31151082,BYO Permit,ARARAT & DISTRICT CYCLING CLUB,VELODROME CAMPBELL STREET,ARARAT,3377,PO BOX 52 CAMPBELL STREET,ARARAT,3377,ARARAT RURAL CITY COUNCIL,ARARAT & DISTRICT CYCLING CLUB INC,
31151090,BYO Permit,WYE RIVER SURF LIFE SAVING CLUB,FORESHORE,WYE RIVER,3221,12 GROSVENOR STREET,MOONEE PONDS,3039,GREATER GEELONG CITY COUNCIL,WYE RIVER SURF LIFE SAVING CLUB INC,
31151105,BYO Permit,VENUS BAY ANGLING CLUB,LOT 1 FISHERMANS ROAD,VENUS BAY,3956,PO BOX 141,TARWIN LOWER,3956,SOUTH GIPPSLAND SHIRE COUNCIL,VENUS BAY ANGLING CLUB INC,
31151163,BYO Permit,OUR KINDA COUNTRY CLUB,CRINIGAN ROAD,MORWELL,3840,P.O. BOX 74,TRARALGON,3844,LATROBE CITY COUNCIL,OUR KINDA COUNTRY CLUB INC,
31151171,BYO Permit,WESTERNPOINT TENNIS CLUB,WYNNE ROAD,SAN REMO,3925,PO BOX 266,SAN REMO,3925,BASS COAST SHIRE COUNCIL,WESTERNPOINT TENNIS CLUB INC,
31151197,BYO Permit,ST ALBANS TENNIS CLUB,ST ALBANS RESERVE 203 ST ALBANS ROAD,THOMSON,3219,44 PALEY DRIVE 203 ST ALBANS ROAD,CORIO,3214,GREATER GEELONG CITY COUNCIL,ST ALBANS TENNIS CLUB INC,
31151236,BYO Permit,TIVOLI SKI CLUB,64 PARALLEL STREET,FALLS CREEK,3699,PO BOX 1009,RICHMOND NORTH,3121,ALPINE SHIRE COUNCIL,TIVOLI SKI CLUB INC,
31202655,BYO Permit,INTERNATIONAL CHINESE RESTAURANT,186 HIGH STREET,BELMONT,3216,186 HIGH STREET,BELMONT,3216,GREATER GEELONG CITY COUNCIL,KUN SHUI LEE & FAI LING LEE,
